Bundesland,Ladenname,Name Besitzer,Ort,Besonderes,Webseite,OnlineShop,FaceBook,Instagram
Nordrhein-Westfalen,Unverpacktes Glück,Melanie Budde,"Friedrich-Wilhelm-Platz 5-6 (Elisengalerie), Aachen","Der erste Unverpackt-Laden in Aachen, das Sortiment ist breit aufgestellt – von Lebensmitteln, Süßigkeiten bis hin zu Seifen und Waschmitteln.",['www.facebook.com/Unverpacktes-Glück-Tütenlos-in-Aachen'],,,
Nordrhein-Westfalen,Bochum Unverpackt/Bioku,"Stefan Holewa, Steven Braun, Davin und Dustin Lehmann, Theodoros Kudios","Herner Straße 14, Bochum","Der Laden sollte direkt auf dem Campus der Bochumer Ruhr-Universität eröffnen. Das Vorhaben wurde jedoch aufgegeben, jetzt steht das Geschäft in der nördlichen Innenstadt.",['www.bioku.org'],,,
Nordrhein-Westfalen,Unverpackt Detmold,Anna Hammer und Dennis Hamann,"Paulinenstraße 54, Detmold",Eine neue Adresse für Bio-Lebensmittel und Zero-Waste-Zubehör in Detmold.,['unverpacktdetmold.wordpress.com'],,,
Nordrhein-Westfalen,Pur – loses & feines,Cem Erdogdu,"Saarlandstraße 118, Dortmund","Alles ist Bio. Ein Schwerpunkt ist Bio-Feinkost, zum Beispiel gibt es viele getrocknete Früchte im ersten Unverpackt Laden in Dortmund.",['www.pur-bio.de'],,,
Nordrhein-Westfalen,Bio-Provinz,Dimitrij Nikulicev und Orhan Bro,"Herforderstraße 28, Bad Oeyenhausen","Bio-Provinz möchte dich für das Thema Plastikmüll und seine Auswirkungen auf die Umwelt sensibilisieren und dir alternative Wege zeigen und schaffen, wie Du Dich aktiv an einer Lösung der Müllbekämpfung beteiligen kannst.",,,Bio-Provinz,
Nordrhein-Westfalen,Losgelöst – Der Unverpackt-Bioladen,Kathrin Kappelmann & Christian Focke,"Weststraße 54, Bielefeld",,['www.losgeloest-bielefeld.de'],,,
Nordrhein-Westfalen,Freikost Deinet,Hilke Deinet,"Rochusstraße 266, Bonn-Duisdorf","Hilke Deinet arbeiten eng mit Erzeugern aus der Region zusammen, um eine nachhaltige Lebensmittelproduktion vor Ort zu erhalten und die kleinbäuerliche Landwirtschaft zu stärken.",['www.freikost.de'],,,
Nordrhein-Westfalen,Allerlei Verpackungsfrei,Sebastian und Annette Metzgen,"Hochstraße 11, Bottrop",Neben Lebensmitteln und Drogeriebedarf gibt es auch ein eigenes Bistro.,['www.allerlei-verpackungsfrei.de'],,,
Nordrhein-Westfalen,Flinse und Co.,Christina Rau,"Lindenstraße 165, Düsseldorf",Erster Unverpackt-Laden Düsseldorfs. An der Mühlenbar kann das Mehl frisch gemahlen werden.,['www.flinse.co'],,,
Nordrhein-Westfalen,Facebook: Gluecklich Unverpackt,Christiane Teske,"Rosastraße 38, Essen",Regionale Bio-Lebensmittel.,,,,
Nordrhein-Westfalen,Von Grünstadt,Helena Mohr,"Rellinghauserstraße 110, Essen","die Anlaufstelle für Fragen und Antworten rund um ein nachhaltiges, ressourcenschonendes und plastikfreies Leben mit einem großen Sortiment nachhaltiger Haushaltswaren.",['www.vongruenstadt.de'],,,
Nordrhein-Westfalen,Lieber unverpackt,Annett Schendel,"Karlsplatz 20, Krefeld",Im Laden gibt es noch ein Bistro samt leckerem Mittagstisch.,['lieber-unverpackt.de'],,,
Nordrhein-Westfalen,The Good Food,Nicole Klaski,"Venloer Straße 414, Köln","Verkauf von Lebensmitteln, die schon aussortiert wurden nach dem Motto „Zahl, was es Dir wert ist“. Damit ist The Good Food Deutschlands erster „Reste“-Supermarkt.",['www.the-good-food.de'],,,
Nordrhein-Westfalen,Veedelskrämer – Ehrenfeld unverpackt,Ivana und Bettina,"Venloer Straße 270 und Neusser Str. 44, Köln",Jeden Dienstag stellen lokale Hersteller und Händler ihre Produkte vor.,['www.veedelskraemer.de'],,,
